127.0.0.1 - - [18/Apr/2024:09:06:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:06:28 +0900] "GET /webproject/day01/jsp/empInsert.jsp HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:06:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:06:57 +0900] "GET /webproject/day01/jsp/empInsert.jsp HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:07:09 +0900] "GET /webproject/day01/jsp/empInsert.jsp HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:19:35 +0900] "GET /webproject/day01/jsp/empInsert.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:19:51 +0900] "GET /webproject/day01/jsp/empInsert.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:20:11 +0900] "GET /webproject/day01/jsp/empInsert.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:20:17 +0900] "GET /webproject/day01/jsp/empInsert.jsp HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:20:36 +0900] "POST /webproject/day01/jsp/empDBInsert.jsp HTTP/1.1" 500 2854
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:14:52 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27141
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:15:06 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27139
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:15:17 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27142
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:15:17 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27142
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:15:18 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27142
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:15:22 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27141
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:16:08 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27195
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:16:16 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27195
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:16:31 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27195
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:16:45 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27195
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:17:54 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27253
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:18:51 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27301
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:23:40 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27348
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:30:59 +0900] "GET /webproject/day01/jsp/empInsert.jsp HTTP/1.1" 200 2288
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:34:03 +0900] "GET /webproject/day01/jsp/empInsert.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:34:07 +0900] "POST /webproject/day01/jsp/empDBInsert.jsp HTTP/1.1" 500 2854
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:35:31 +0900] "GET /webproject/day01/jsp/empInsert.jsp HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:35:42 +0900] "GET /webproject/day01/jsp/empInsert.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:37:42 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27758
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:38:01 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27350
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:38:04 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27350
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:38:04 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27350
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:38:04 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27350
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:38:05 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27350
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:38:05 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27350
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:38:08 +0900] "GET /webproject/day01/jsp/empAll.jsp HTTP/1.1" 200 27350
